"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"29","33.259362076593","296.88163397371","294.83903605055","46744.666202544","0.96941977507985","52.152102612743","8.5354961860023","33.578164052732","13.548845837706","32.942768962285","16.662955996569","2.936089934727","4.0195945502325","43.92774926467","42.631698994732","296.98561823733","blackout"
"30","32.650943537432","296.71632397476","294.71689048898","46736.093932139","0.65603668163928","53.22474993424","6.7651839725972","31.400541174346","0.39746527042628","33.945228835691","15.278223626873","4.2192710404295","3.2981542744106","43.653408765582","42.992175575909","295.42559034766","blackout"
"31","31.564951093839","297.40934916939","296.40478321401","46729.126003638","-0.28837439452339","51.563336280418","7.8101211969042","32.9239226925","-4.7529933981068","32.932859258045","14.293587443209","5.5684071207352","4.0796781850256","43.928608108543","41.70107127023","294.6219493586","blackout"
"32","33.088762003086","297.46111576418","295.13226352734","46724.219118761","0.17410617318326","52.84030665269","8.0145364003104","30.444470600585","12.9739654544","31.876407450363","14.716917937633","2.4552344508463","3.8040794258454","42.011028219646","41.838091679021","295.85699673678","blackout"
"33","30.934148662934","297.9511571066","293.70023415745","46723.117251849","0.26981070899282","52.766952352631","7.7942418179827","31.977977363781","6.1978127668569","29.934890253688","14.526090214073","2.7459757359474","4.837409577058","42.79553551654","41.741312863227","295.48213898803","blackout"
"34","29.065891942435","298.11288222593","295.24712395261","46724.028742012","-1.8449710994903","54.409305257434","9.4556710296833","32.886997482921","-5.2765378162478","28.527181537176","13.524356844634","3.0956808071172","4.4509942698173","44.379430790356","41.321601858143","298.77781460386","blackout"
"35","28.976191305412","300.19130509625","295.24713354605","46727.667571085","2.9197098247175","54.316548577453","7.9222393102706","32.494556466283","13.404663217619","29.507503563869","13.432795946558","5.0945430577841","3.8197006562848","45.072155991058","43.707281548867","294.31171117304","blackout"
"36","28.974432555239","297.71993625502","296.663374395","46731.690183678","2.4878637347561","52.590162111408","8.5134801180236","33.285032302132","7.4410205709884","27.469157381881","14.135783808658","5.6105747854329","2.923674431015","45.148779476058","41.551093079553","295.80138367711","blackout"
"37","28.462951103479","298.53167152602","293.17098157068","46740.308052389","1.8115623338211","54.132556710957","7.472390350799","32.863478375426","-5.5796927523816","28.12442732991","15.497948158281","2.2261266735987","4.0196441129427","44.358805420044","41.140534047362","296.85878408316","blackout"
"38","27.630984537694","298.45437082208","293.85153973851","46750.086578195","0.67968690960725","55.335215053169","9.0873470962381","32.02249757938","7.0720655341958","26.354917810959","15.579378265625","4.352307597901","4.0228042860839","41.343661809426","43.347336659394","297.17725743485","blackout"
"39","25.586973940727","298.41056369099","296.59897597932","46762.333046119","2.7064436846254","55.844596621258","7.5739014182353","30.791731146658","12.727176237776","28.878388904758","16.699922684331","4.7667214118998","2.0780946998018","43.513290723411","43.458585678059","296.31252035181","blackout"
"40","27.169380052818","297.77756099497","293.00477044191","46774.842610141","1.0060271121681","54.909011658779","9.5806725745658","32.023220152575","-5.2395230735795","26.526848738841","14.786906503393","2.9961921558658","3.5118128003992","43.179533779707","40.649894654864","295.55365208128","blackout"
"41","28.219204978277","298.64106304255","294.72226338501","46793.927303859","-0.17337475059089","54.332846658379","8.7213382132261","29.890422951378","2.129209670096","25.760934459695","15.064713038023","1.8586975633778","4.3259783218077","41.93768032241","43.527400374057","297.76035285371","blackout"
"42","25.902970227336","299.51350418613","295.1988148606","46812.180830135","1.3374502199603","53.86370393242","8.6112182936688","31.004088074273","15.381047744135","26.58679573854","15.202903482038","3.7610008807063","4.6068332976808","43.601206097196","42.870547419403","296.97148206491","blackout"
"43","25.051039497445","300.18242845156","293.77528859422","46834.338398582","1.3896569706173","54.289549950932","8.3478586724659","31.371625001768","2.4105190368678","26.513512315431","15.54539143458","5.2058837852066","2.4400681041087","42.966846472058","42.888929065489","296.85855576202","blackout"
"44","23.352001654991","299.68858359317","295.56148981611","46856.818664409","-0.98467178295468","54.724599731391","7.7125068039252","30.993980820808","-4.7719260695567","25.158062213279","15.947193518919","7.1417195543852","4.2896526837256","43.228179301674","42.458501434586","297.46141604526","blackout"
"45","23.197342528802","299.38422909075","295.3726696817","46881.920805077","0.87653919928311","55.095818144866","8.2173841268584","31.160200021057","8.3228433371574","23.073618090525","14.673280760915","3.197612588055","4.5015141520966","42.327439262775","41.722237676862","298.36557581156","blackout"
"46","24.506956426698","299.00640188377","297.50035350716","46907.840163842","2.0756204807046","55.768488837865","7.8422794765091","31.856784251975","10.974571519224","22.363291227795","16.742483604282","3.2620377134191","2.031346324662","43.944473788622","43.308898546593","298.41286742726","blackout"
