"Tempo (s)","Vazao no nucleo (%)","Temperatura na perna quente (C)","Temperatura na perna fria (C)","Vazao no nucleo (kg/s)","Nivel no gerador de vapor - Faixa larga (%)","Nivel no gerador de vapor - Faixa estreita (%)","Pressao no gerador de vapor (Mpa)","Vazao de agua de alimentacao (kg/s)","Vazao de vapor (kg/s)","Vazao no circuito primario (kg/s)","Pressao no sistema primario (Mpa)","Potencia Termica (%)","Potencia Nuclear (%)","Margem de sub-resfriamento (C)","Nivel do pressurizador (%)","Temperatura media no primario (C)","acidente"
"40","25.830624095411","297.78494087507","296.01971200457","46776.548634264","0.98212291413944","55.058144619731","6.9990789243968","28.223493481946","-5.2650782875601","24.978109651935","15.749362365363","2.4934646057994","2.7686721961221","43.744117904358","43.261824067119","297.86784254342","blackout"
"41","27.597324514163","299.04505059541","295.72138073323","46793.597321972","0.10504871944727","54.091426278152","8.1391193018989","32.134149964988","-0.31351273271596","24.158109996603","15.93879935018","3.3547515940335","5.1491150862881","43.78481341187","42.602294006241","297.45245314294","blackout"
"42","24.726817911631","299.14695672298","295.61971679771","46812.432197306","-0.24783368587168","55.224951318375","8.1019825017189","31.718180107198","13.938417057248","24.859367481387","14.747680538672","2.4497789625257","2.4490239705595","43.482606526593","42.940549412496","296.32122085932","blackout"
"43","25.688095456758","296.97030572209","294.94717784107","46833.289954933","1.4963420686778","54.830625623846","8.8037030532069","31.910947945623","2.2317279834636","25.062774295468","15.911423653991","3.974449711063","4.2129953283818","43.905073143504","44.889692184011","297.25094727203","blackout"
"44","24.689171986078","296.31631376162","295.15487176789","46856.596707244","0.15828585826856","54.904572548708","6.465927344302","31.843118443782","-5.5211621331663","23.918894716134","15.119861485071","4.0270117159359","4.4091010857744","43.600797657042","42.61023506675","299.25184799769","blackout"
"45","24.665183992967","301.06389557083","297.13717971204","46881.12062395","1.1486273950269","55.278204701234","8.0151696084592","30.914940925287","7.0058136928095","26.218376908185","16.026503786671","4.6605538325695","2.4687140924971","44.289920000817","44.830293705424","297.42756389167","blackout"
"46","24.264103654693","301.14733289777","296.509087018","46911.490674209","0.68947161755165","53.784675032313","7.1797557948713","32.084896249801","9.5507001859068","22.637751443851","15.085255305113","4.3278022154157","5.8276660133757","43.772000124025","42.486117842036","297.64499634048","blackout"
"47","23.121552164151","301.58345961957","296.18260684193","46936.2773568","1.2746623916584","55.104230845595","8.735572833412","29.722618084294","-4.3555654099151","23.559178941137","13.908612263752","0.96476311929352","5.1449128945762","43.118934921128","42.535318841912","297.50026729423","blackout"
"48","20.952390206777","299.08067007625","295.75584959775","46966.696392938","-0.29009466854867","56.512643523352","7.9855161370698","32.017818837329","-3.7027669442169","23.386152407209","14.180545028482","3.5754456886562","3.5365840567595","43.965248716604","43.523890354612","298.92908718127","blackout"
"49","22.988528328397","299.10529789355","295.7661580128","46997.48203904","0.010414762789648","55.61241882887","6.5247794682791","30.942502940403","10.581367463068","22.876585270699","15.811183512706","3.7456077425219","4.7689218868691","43.935179515112","42.617139280357","296.91576028148","blackout"
